natural*01,natural*02,natural*03,natural*04,natural*05,natural*06,natural*07,natural*08,natural*09,unnatural*01,unnatural*02,unnatural*03,unnatural*04,unnatural*05,unnatural*06,unnatural*07,unnatural*08,unnatural*09
-1.1920928955078125e-07,0.0,2.980232238769531e-07,1.1920928955078125e-07,2.384185791015625e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,2.980232238769531e-07,0.0,0.0,-1.1920928955078125e-07,-1.1920928955078125e-07,4.172325134277344e-07,5.960464477539063e-08,5.960464477539063e-08,-1.1920928955078125e-07,4.76837158203125e-07
-1.1920928955078125e-07,0.0,2.980232238769531e-07,1.1920928955078125e-07,2.384185791015625e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,2.980232238769531e-07,0.0,0.0,-1.1920928955078125e-07,-1.1920928955078125e-07,4.172325134277344e-07,5.960464477539063e-08,5.960464477539063e-08,-1.1920928955078125e-07,4.76837158203125e-07
-1.1920928955078125e-07,0.0,2.980232238769531e-07,1.1920928955078125e-07,2.384185791015625e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,2.980232238769531e-07,0.0,0.0,-1.1920928955078125e-07,-1.1920928955078125e-07,4.172325134277344e-07,5.960464477539063e-08,5.960464477539063e-08,-1.1920928955078125e-07,4.76837158203125e-07
-1.1920928955078125e-07,0.0,2.980232238769531e-07,1.1920928955078125e-07,2.384185791015625e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,2.980232238769531e-07,0.0,0.0,-1.1920928955078125e-07,-1.1920928955078125e-07,4.172325134277344e-07,5.960464477539063e-08,5.960464477539063e-08,-1.1920928955078125e-07,4.76837158203125e-07
-1.1920928955078125e-07,0.0,2.980232238769531e-07,1.1920928955078125e-07,2.384185791015625e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,2.980232238769531e-07,0.0,0.0,-1.1920928955078125e-07,-1.1920928955078125e-07,4.172325134277344e-07,5.960464477539063e-08,5.960464477539063e-08,-1.1920928955078125e-07,4.76837158203125e-07
-1.1920928955078125e-07,0.0,2.980232238769531e-07,1.1920928955078125e-07,2.384185791015625e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,2.980232238769531e-07,0.0,0.0,-1.1920928955078125e-07,-1.1920928955078125e-07,4.172325134277344e-07,5.960464477539063e-08,5.960464477539063e-08,-1.1920928955078125e-07,4.76837158203125e-07
-1.1920928955078125e-07,0.0,2.980232238769531e-07,1.1920928955078125e-07,2.384185791015625e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,2.980232238769531e-07,0.0,0.0,-1.1920928955078125e-07,-1.1920928955078125e-07,4.172325134277344e-07,5.960464477539063e-08,5.960464477539063e-08,-1.1920928955078125e-07,4.76837158203125e-07
-1.1920928955078125e-07,0.0,2.980232238769531e-07,1.1920928955078125e-07,2.384185791015625e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,2.980232238769531e-07,0.0,0.0,-1.1920928955078125e-07,-1.1920928955078125e-07,4.172325134277344e-07,5.960464477539063e-08,5.960464477539063e-08,-1.1920928955078125e-07,4.76837158203125e-07
-1.1920928955078125e-07,0.0,2.980232238769531e-07,1.1920928955078125e-07,2.384185791015625e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,2.980232238769531e-07,0.0,0.0,-1.1920928955078125e-07,-1.1920928955078125e-07,4.172325134277344e-07,5.960464477539063e-08,5.960464477539063e-08,-1.1920928955078125e-07,4.76837158203125e-07
-1.1920928955078125e-07,0.0,2.980232238769531e-07,1.1920928955078125e-07,2.384185791015625e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,2.980232238769531e-07,0.0,0.0,-1.1920928955078125e-07,-1.1920928955078125e-07,4.172325134277344e-07,5.960464477539063e-08,5.960464477539063e-08,-1.1920928955078125e-07,4.76837158203125e-07
