natural*01,natural*02,natural*03,natural*04,natural*05,natural*06,natural*07,natural*08,natural*09,unnatural*01,unnatural*02,unnatural*03,unnatural*04,unnatural*05,unnatural*06,unnatural*07,unnatural*08,unnatural*09
4.9179792404174806e-05,0.00014066100120544434,0.0001780688762664795,8.876323699951172e-05,0.0003712177276611328,8.883476257324219e-05,0.00019268989562988282,3.0255317687988283e-05,0.0003449678421020508,3.758668899536133e-05,7.9345703125e-05,7.683634757995605e-05,7.48753547668457e-05,0.0002459585666656494,4.773736000061035e-05,0.0001245737075805664,2.1016597747802736e-05,0.0003279507160186768
4.9221515655517575e-05,0.00014084577560424805,0.0001784682273864746,8.916258811950684e-05,0.00037157535552978516,8.890628814697265e-05,0.0001928269863128662,3.0285120010375978e-05,0.00034529566764831545,3.7622451782226565e-05,7.942914962768554e-05,7.696151733398438e-05,7.503032684326172e-05,0.000246274471282959,4.7653913497924805e-05,0.00012475252151489258,2.1052360534667968e-05,0.0003283679485321045
4.926323890686035e-05,0.00014094114303588867,0.00017918944358825685,8.918642997741699e-05,0.0003717303276062012,8.897781372070312e-05,0.00019317865371704102,3.0279159545898438e-05,0.00034561753273010254,3.76284122467041e-05,7.95125961303711e-05,7.747411727905273e-05,7.515549659729004e-05,0.00024660825729370115,4.774332046508789e-05,0.0001248598098754883,2.1070241928100586e-05,0.00032859444618225095
4.938244819641113e-05,0.00014117956161499023,0.00017957687377929689,8.938908576965332e-05,0.00037177205085754396,8.921623229980468e-05,0.00019327998161315917,3.032684326171875e-05,0.0003461182117462158,3.7658214569091794e-05,7.964372634887696e-05,7.683038711547852e-05,7.533431053161622e-05,0.0002468109130859375,4.7880411148071286e-05,0.00012496113777160645,2.1135807037353517e-05,0.0003289461135864258
4.943609237670898e-05,0.0001414179801940918,0.00017838478088378907,8.960962295532227e-05,0.00037253499031066897,8.957386016845703e-05,0.0001937389373779297,3.038644790649414e-05,0.0003471970558166504,3.775358200073242e-05,7.979869842529297e-05,7.77602195739746e-05,7.553696632385254e-05,0.0002472817897796631,4.7880411148071286e-05,0.00012518763542175294,2.117753028869629e-05,0.00032995343208312987
4.960298538208008e-05,0.00014176368713378907,0.00017851591110229492,8.995532989501953e-05,0.00037354230880737305,8.972883224487305e-05,0.00019431114196777344,3.0469894409179687e-05,0.0003481149673461914,3.79025936126709e-05,8.006095886230469e-05,7.88569450378418e-05,7.56978988647461e-05,0.0002476215362548828,4.819035530090332e-05,0.00012568235397338867,2.1201372146606445e-05,0.00033112764358520506
4.976391792297363e-05,0.0001422703266143799,0.00017934441566467286,9.03487205505371e-05,0.0003748476505279541,9.02712345123291e-05,0.00019508004188537598,3.057718276977539e-05,0.000349581241607666,3.799200057983398e-05,8.03530216217041e-05,7.966160774230957e-05,7.584095001220704e-05,0.00024917125701904295,4.824995994567871e-05,0.0001262545585632324,2.1243095397949217e-05,0.00033243894577026365
5.0002336502075194e-05,0.00014309287071228026,0.0001813530921936035,9.071826934814453e-05,0.0003773093223571777,9.052753448486328e-05,0.000195997953414917,3.0666589736938477e-05,0.0003515005111694336,3.8063526153564454e-05,8.07046890258789e-05,7.876157760620118e-05,7.614493370056152e-05,0.00025052428245544436,4.828572273254395e-05,0.0001267671585083008,2.135038375854492e-05,0.0003343343734741211
5.0240755081176756e-05,0.00014401078224182128,0.00018319487571716309,9.15229320526123e-05,0.00038024187088012693,9.102225303649902e-05,0.0001973569393157959,3.08692455291748e-05,0.0003540575504302979,3.833174705505371e-05,8.124113082885742e-05,7.938742637634278e-05,7.677674293518066e-05,0.00025180578231811526,4.8726797103881836e-05,0.00012763142585754396,2.1451711654663085e-05,0.00033627748489379884
5.0681829452514646e-05,0.00014505386352539062,0.0001861393451690674,9.196996688842773e-05,0.0003842294216156006,9.181499481201172e-05,0.00019890069961547852,3.1065940856933596e-05,0.0003569543361663818,3.86655330657959e-05,8.192658424377441e-05,7.96198844909668e-05,7.718801498413086e-05,0.0002541005611419678,4.919171333312988e-05,0.0001286029815673828,2.1672248840332033e-05,0.000338900089263916
