0.049331,0.044124,0.011352
0.09111,0.088849,0.08263
0.11578,0.11696,0.15272
0.13933,0.13395,0.16286
0.15347,0.15109,0.18917
0.17121,0.16385,0.20225
0.18029,0.17767,0.21742
0.19403,0.18814,0.23481
0.20269,0.19847,0.24096
0.21184,0.21216,0.25328
0.22093,0.21851,0.26394
0.23104,0.22662,0.27826
0.241,0.23579,0.28844
0.2474,0.24272,0.29878
0.25268,0.24949,0.31195
0.262,0.25667,0.3218
0.27124,0.26393,0.32908
0.2798,0.27151,0.33916
0.28487,0.27781,0.35177
0.2933,0.2859,0.3545
0.30277,0.29337,0.36123
0.30566,0.29962,0.37382
0.31386,0.30719,0.38197
0.32068,0.31376,0.38846
0.32875,0.31971,0.39458
0.33439,0.32631,0.40483
0.34187,0.33145,0.40945
0.34581,0.33781,0.41708
0.35215,0.34376,0.42403
0.35873,0.34822,0.42843
0.36604,0.35483,0.43437
0.36911,0.35977,0.44137
0.37384,0.36587,0.45057
0.38113,0.37127,0.4576
0.38605,0.37644,0.45985
0.39069,0.38037,0.46713
0.39696,0.38543,0.47566
0.40118,0.39106,0.48006
0.40392,0.39579,0.48918
0.41,0.40029,0.48993
0.416,0.40471,0.49699
0.42041,0.40951,0.49847
0.42421,0.41385,0.50307
0.42979,0.41825,0.51092
0.43415,0.42256,0.5181
0.43958,0.42734,0.52042
0.44458,0.43239,0.52694
0.44916,0.43567,0.5299
0.45331,0.44004,0.53394
0.45696,0.44437,0.54018
0.46219,0.44814,0.54643
0.46604,0.45232,0.54996
0.46917,0.45676,0.55588
0.47456,0.46143,0.55991
0.47659,0.46534,0.56505
0.48146,0.46934,0.5695
0.48693,0.47308,0.57356
0.49145,0.47711,0.57858
0.49457,0.481,0.58461
0.4984,0.48529,0.58965
0.50059,0.48914,0.59313
0.50505,0.49302,0.59658
0.50934,0.49667,0.60122
0.51329,0.49992,0.60449
0.51647,0.5029,0.61193
0.52171,0.50567,0.6139
0.52392,0.50939,0.61638
0.52686,0.51342,0.62118
0.53068,0.51661,0.62731
0.53367,0.52001,0.63142
0.53856,0.52396,0.63426
0.54165,0.52757,0.63896
0.54609,0.53087,0.64089
0.55139,0.53436,0.64264
0.55493,0.53812,0.64942
0.5574,0.54166,0.65389
0.56064,0.54524,0.65733
0.56408,0.54811,0.66075
0.56798,0.55168,0.66491
0.57181,0.55524,0.66814
0.5747,0.5587,0.67045
0.57774,0.5622,0.67647
0.58119,0.56545,0.67997
0.58384,0.56812,0.6833
0.58811,0.5715,0.68707
0.59106,0.57473,0.68957
0.59468,0.57798,0.6922
0.5981,0.58134,0.69887
0.60109,0.58443,0.70265
0.60392,0.58753,0.70409
0.60791,0.59061,0.70876
0.61063,0.59372,0.71271
0.61344,0.5968,0.71694
0.61629,0.59971,0.72155
0.61909,0.60285,0.71981
0.62381,0.60587,0.72371
0.62604,0.60898,0.72692
0.62841,0.61236,0.7297
0.631,0.61555,0.73393
0.63406,0.61887,0.73607
0.63867,0.62205,0.73851
0.64277,0.62505,0.74146
0.64521,0.62793,0.74682
0.64769,0.63081,0.74976
0.65104,0.63333,0.75126
0.6545,0.63589,0.75276
0.65722,0.6389,0.75693
0.66003,0.64174,0.75891
0.66338,0.64452,0.76104
0.66817,0.64731,0.76511
0.66744,0.65067,0.7671
0.67116,0.65382,0.76927
0.67465,0.65657,0.77205
0.67604,0.65914,0.7753
0.67744,0.6619,0.77798
0.68011,0.6645,0.78029
0.68431,0.66721,0.78252
0.6877,0.67088,0.78575
0.69076,0.67346,0.7893
0.69248,0.67593,0.79089
0.69454,0.67832,0.79254
0.70063,0.68146,0.79438
0.70316,0.68424,0.79637
0.70489,0.68685,0.80002
0.70705,0.68944,0.80337
0.70981,0.69189,0.80542
0.71188,0.69434,0.80721
0.7142,0.69734,0.80963
0.71803,0.69976,0.81239
0.72031,0.70201,0.81511
0.72422,0.70458,0.81909
0.72642,0.70729,0.82118
0.72761,0.713,0.82297
0.72879,0.71488,0.82509
0.73435,0.71607,0.82737
0.73676,0.71725,0.82911
0.73911,0.7197,0.83083
