imgType,imageType.thisRepN,imageType.thisTrialN,imageType.thisN,imageType.thisIndex,text_instr.started,block_loop.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_type.started,instr_resp.started,instr_resp.keys,instr_resp.rt,staircase.label,staircase.startVal,staircase.startValSd,staircase.pThreshold,staircase.method,staircase.maxVal,staircase.minVal,staircase.range,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.stepType,staircase.intensity,ISI.started,image1.started,image2.started,image3.started,key_resp.started,staircase.response,level,targetSide,CorrectAns,correct,image1.stopped,image2.stopped,image3.stopped,approxThreshold,std,mean,thanks_text.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,13.252671899972484,13.802597399975639,13.802597399975639,space,0.6402777000330389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_oya_1,2023-04-21_13h06.20.082,quest_noise,2022.2.5,120.08679870003164,
utexture,0,0,0,15,,,,,,14.477828099974431,14.477828099974431,space,0.46909029997186735,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.3281927999923937,15.794284200004768,15.794284200004768,15.794284200004768,15.794284200004768,1,0.8,-1,left,1,,,,,,,,,,,10_oya_1,2023-04-21_13h06.20.082,quest_noise,2022.2.5,120.08679870003164,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_oya_1,2023-04-21_13h06.20.082,quest_noise,2022.2.5,120.08679870003164,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,0.7711677739866264,0.011432600033003837,18.435947599995416,18.435947599995416,18.435947599995416,18.435947599995416,1,0.7711677739866264,-1,left,1,,,,,,,,,,,10_oya_1,2023-04-21_13h06.20.082,quest_noise,2022.2.5,120.08679870003164,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_oya_1,2023-04-21_13h06.20.082,quest_noise,2022.2.5,120.08679870003164,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,0.6892364930809887,0.011213899997528642,19.935927799961064,19.935927799961064,19.935927799961064,19.935927799961064,1,0.6892364930809887,-1,left,1,,,,,,,,,,,10_oya_1,2023-04-21_13h06.20.082,quest_noise,2022.2.5,120.08679870003164,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_oya_1,2023-04-21_13h06.20.082,quest_noise,2022.2.5,120.08679870003164,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,0.6252138722597939,0.01165130001027137,22.527706099965144,22.527706099965144,22.527706099965144,22.527706099965144,1,0.6252138722597939,-1,left,1,25.527732699993066,25.527732699993066,25.527732699993066,,,,,,,,10_oya_1,2023-04-21_13h06.20.082,quest_noise,2022.2.5,120.08679870003164,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_oya_1,2023-04-21_13h06.20.082,quest_noise,2022.2.5,120.08679870003164,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.5740588781600403,0.011468900018371642,26.14453190000495,26.14453190000495,26.14453190000495,26.14453190000495,1,0.5740588781600403,-1,left,1,29.1444825999788,29.1444825999788,29.1444825999788,,,,,,,,10_oya_1,2023-04-21_13h06.20.082,quest_noise,2022.2.5,120.08679870003164,
